id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
60,X-Men: First Class,2 hr. 12 min.,Matthew Vaughn,2011,James McAvoy,Michael Fassbender,Kevin Bacon,Caleb Landry Jones,Nicholas Hoult,January Jones,87,87,"For reasons arising from the way the X-Men film franchise has developed, this is the first Marvel movie set in the period when the characters were created, and thus able to embrace the Rat Pack cool that was part of their original charm.","That First Class also offers up a decent narrative about the importance of self-love, family bonding and friendship gives it extra dimension -- even if the overall dramatic range only goes X to Z.",X-Men: First Class manages the neat trick of staying true to the superhero legend while also creating something fresh and exciting. This class graduates with top marks.,"In truth, the film is a very conventional summer potboiler repackaged in reasonably pretty, moderately crisp wrapping paper. In short, not quite groovy enough.","In some glorious zone between Mad Men and Thunderbirds comes this X-Men prequel, as kinetic as it is character-driven, and full of ridiculous retro pleasures."
61,The Putt Putt Syndrome,1 hr. 36 min.,Allen Cognata,2011,Jason London,David Chokachi,Thea Gill,Heather Tom,Robert Maschio,Paul Diomede,0,33,"After watching the leaden comedy ""The Putt Putt Syndrome,"" you actually might understand less about marriage than you did going in.",,,,
62,All Night Long,1 hr. 35 min.,Basil Dearden,1962,Patrick McGoohan,Marti Stevens,Betsy Blair,Richard Attenborough,Ken Napper,Richard Harris,0,73,"... the elegance of the camerawork, the machinations of the plot and the fun of seeing these musicians performing onscreen keeps the film involving.",,,,
63,Sapphire,1 hr. 32 min.,Basil Dearden,1959,Nigel Patrick,Michael Craig,Yvonne Mitchell,Paul Massie,Bernard Miles,Earl Cameron,0,71,"This is Important Cinema with Socially Relevant Themes and, while surely daring in its day, comes off as insufferably patronizing and sanctimonious at times.",,,,
64,The Singing Nun,1 hr. 38 min.,Henry Koster,1966,Debbie Reynolds,Ricardo Montalban,Greer Garson,Agnes Moorehead,Chad Everett,Katharine Ross,0,68,"Debbie Reynolds, then in her second and last popularity phase, plays the titular role in this unbearably cloying, poorly scripted musical melodrama, trying to cash in on the success of The Sound of Music.",,,,
65,Nostalgia for the Light,1 hr. 30 min.,Patricio Guzmán,2011,Gaspar Galaz,Lautaro Nunez de Arc...,Luis Henriquez,Miguel Lawner,Victor González,Anita Lawner,100,84,A truly eye-opening experience.,A nearly unbearable examination of good and bad in the human heart.,Guzmán offers a poetic narrative that celebrates the searches and insists on the moral obligation to remember Chile's not-too-distant past.,"Moving and poetic, with beautiful composition and strong direction, Nostalgia For The Light has an authentic sense of gravitas.",The vast expanse of the world's driest place - captured here in all its arid intensity - makes for a fascinating and eerie backdrop.
66,Incendies,2 hr. 10 min.,Denis Villeneuve,2011,Lubna Azabal,Mélissa Désormeaux-P...,Maxime Gaudette,Rémy Girard,Abdelghafour Elaaziz,Allen Altman,92,92,A strong film based on a weak story.,"Although ""Incendies"" shows very little violence, the burden of knowing what's taking place off-screen is just as difficult for the audience to stomach.","Rewarding, but ridiculously stingy in handing out simple details -- relationships, geographical settings, etc. -- vital to our grasp of what's going on.","Watching Incendies is a long, hard, and emotionally draining experience but one that richly rewards the time and effort invested.","Every time the film begins to feel more like a history lesson than a drama, it explodes into action."
67,The Shunning,1 hr. 28 min.,Michael Landon Jr.,2011,Danielle Panabaker,Sandra W. VanNatta,Sandra W. Van Natta,Bill Oberest Jr.,Sherry Stringfield,Burgess Jenkins,0,57,,,,,
68,Son Of Morning,1 hr. 21 min.,Yanviz Raz,2011,Joseph Cross,Heather Graham,Danny Glover,Jamie-Lynn Sigler,Lorraine Bracco,Edward Herrmann,0,16,,,,,
69,The Four Times (Le Quattro Volte),1 hr. 28 min.,Michelangelo Frammartino,2011,Giuseppe Fuda,Bruno Timpano,Nazareno Timpano,,,,93,75,The God's-eye view becomes mesmerizing when we stop insisting that the film flatter us and just enjoy a quiet ride on the cycle.,I drifted pleasantly in its depths.,"Le Quattro Volte may sound like art-house tedium, but in fact it's a movie of grave beauty, serene pace and surprising humor.","Give Le Quattro Volte the patience it deserves, and you will be captivated by its stately rhythms, transfixed by its strange imagery, and moved by its sudden dramas. Don't, and you'll be bored to tears.","If Dante hadn't already made classic use of the title, Michelangelo Frammartino's Le Quattro Volte could instead have been called The Divine Comedy."
70,Thor,1 hr. 55 min.,Kenneth Branagh,2011,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Tom Hiddleston,Stellan Skarsgard,Kat Dennings,77,76,"Let's hope Branagh was well-compensated, at least. To quote his favorite author: No profit grows where is no pleasure taken.","Thor is on much safer ground here on Earth. The tone is immediately different: more relaxed; comic, not cosmic.",Thor is a really good popcorn flick -- just a little too bloated in places to hit the mark as well as it could have.,The mildly amusing midsection plays like a Viking take on Crocodile Dundee.,Strikes a mighty blow to the summer blockbuster season and will charge up audiences just like the first 'Iron Man.'
71,Lost Heritage,1 hr. 45 min.,Christian Lara,1992,Luc Saint Eloy,Philippe Mory,Sidiki Bakaba,,,,0,0,,,,,
72,Hesher,1 hr. 45 min.,Spencer Susser,2011,Joseph Gordon-Levitt,Natalie Portman,Rainn Wilson,Piper Laurie,Devin Brochu,Brendan Hill,54,61,"Happily, Hesher never lays things out too clearly. Just as you never know where he came from, it's hard to grasp where he's going, or even what he's doing in the moment. But you know he fits somewhere. And that's satisfaction enough.","Gordon-Levitt is a sly and inventive actor, and it can be genuinely fun to watch him having so much fun. But this character wears out his welcome fast.","Rather than a character rooted in some sort of reality -- social, satirical, psychological, take your pick -- Hesher is an abstract notion animated by false energy.",Bad role models sometimes make the most interesting movie characters.,"Unlike many films that hope to be called black comedy, it does not skimp on either the black or the comedy."
73,True Legend,1 hr. 56 min.,Woo-ping Yuen,2011,Vincent Zhao,Xun Zhou,Andy On,Xiaodong Guo,Michelle Yeoh,David Carradine,63,55,Diverting but unmemorable martial arts feature unlikely to become a classic.,"Somewhere between masterful and messy, Yuen Woo-ping offers lots of kinetic kicks, but his CGI work deserves a kick in the pants.","A silly and yet often enjoyable action film, the movie isn't so much a winking homage to those late-'70s Hong Kong exports as another entry...",Fans don't go to martial-arts movies for the story. They want action -- and Yuen doesn't disappoint.,"Fans who've been waiting 15 years for the director of ""Drunken Master"" to helm a new movie definitely won't be disappointed."
74,Blades Of Blood,1 hr. 48 min.,Lee Joon-ik,2010,Cha Seung-weon,Hwang Jeong-Min,Baek Sung-hyun,Ji-hye Han,Seong-hyeon Baek,,0,33,,,,,
75,Secrets in the Walls,1 hr. 26 min.,Christopher Leitch,2010,Jeri Ryan,Kay Panabaker,Peyton List,Ian Kahn,Marianne Jean-Baptis...,Peyton Roi List,0,31,,,,,
76,The River Murders,1 hr. 33 min.,Rich Cowen,2011,Ray Liotta,Christian Slater,Ving Rhames,Gisele Fraga,Giselle Fraga,Sarah Ann Schultz,0,9,...a disappointingly uneven endeavor that can't quite get the job done...,,,,
77,We Are The Night,1 hr. 35 min.,Dennis Gansel,2011,Karoline Herfurth,Nina Hoss,Jennifer Ulrich,Anna Fischer,Max Riemelt,Arved Birnbaum,62,51,"A love triangle with fangs but no bite, the German import ""We Are the Night"" is mostly infatuated with its own stylish excesses.",Stylishly reinvents juvenile pulp with flashy pyrotechnics.,"Gansel compensates for the story's lack of emotional heft with rousing chase scenes and impressive, near-poetic CGI set pieces, and works in a sly suggestion that vampirism is the ultimate expression of consumerist indulgence.","an odd - and therefore interesting - blend of genetic elitism, feminist emancipation and rave-culture hedonism, where oldworld bloodlines leave a trail imprinted in the postmodern age - all wrapped in a slickly stylish audiovisual package.","It's stylishly constructed and a better feminist vampire yarn than Twilight, but still problematic in itself."
78,Finding Me: Truth,1 hr. 40 min.,Roger S. Omeus Jr.,2011,RayMartell Moore,Maurice Murrell,J'Nara Corbin,Eugene Turner,Derrick L. Briggs,Josh Breckenridge,0,100,,,,,
79,4th And Goal,1 hr. 29 min.,Nina Gilden Seavey,2011,Deqawn Mobley,Albert Toeania,Bret Jones,Tim Brown,Randy Sims,Gibril Wilson,0,40,,,,,
80,Breaking The Press,1 hr. 35 min.,Andrew Stevens,2010,Drew Waters,Farah White,Tom Maden,Chad Halbrook,Burton Gilliam,Richard Dillard,0,37,,,,,
81,Setup,1 hr. 24 min.,Mike Gunther,2011,Bruce Willis,Ryan Phillippe,50 Cent,Jenna Dewan Tatum,Randy Couture,James Remar,0,17,"""overall, awkward is the best word to describe this disjointed and strained film.""",,,,
82,Go for It!,1 hr. 30 min.,Carmen Marron,2011,Aimee Garcia,Gina Rodriguez,Louie Alegria,Jossara Jinaro,David Hernandez,Rino Nakasone,0,35,An unpretentious rite-of-passage drama whose merits belie the banality of its title.,Go For It! never manages to conjure an iota of the joyful exuberance that enlivens even the most formulaic dance films.,Go for It! brings nothing new to the coming-of-age dance film.,Earnest and sympathetic but unsophisticated.,
83,Circo,1 hr. 15 min.,Aaron Schock,2011,Moises Ponce,Alexia Ponce,Tino Ponce,Alejandra Ponce,Tacho Ponce,Ivonne Ponce,92,82,Circo takes you to the edge of human experience on a path none of this summer's superhero daredevils would ever consider taking.,"""Circo"" is an amazing feat.",It says as much about human nature as it shows about struggling entertainers.,"Sort of a modern-day version of ""Toby Tyler,"" only without a frisky, mischievous Mr. Stubbs as comic relief.","""Circo'' offers a fascinating mix of backstage drama and family dynamics."
84,Killer Party,1 hr. 31 min.,William Fruet,1986,Martin Hewitt,Ralph Seymour,Elaine Wilkes,Paul Bartel,Sherry Willis-Burch,Alicia Fleer,0,44,,,,,
85,Flame in the Streets,1 hr. 33 min.,Roy Ward Baker,1962,John Mills,Sylvia Syms,Brenda De Banzie,Earl Cameron,Johnny Sekka,Ann Lynn,0,67,,,,,
86,Bride Flight,2 hr. 10 min.,Ben Sombogaart,2011,Elise Schaap,Petra Laseur,Karina Smulders,Pleuni Touw,Anna Drijver,Willeke van Ammelroo...,69,75,"Smug and unconvincing, this 2008 period drama from the Netherlands is the sort of movie that defines an era solely by its prejudices, on the implicit assumption that we'll applaud the central characters for their modern attitudes.",This very pretty melodrama is a rather ordinary entry.,"Aside from its period New Zealand setting, there is little to distinguish Bride Flight from something you might watch briefly on Lifetime, then change the channel.","The events in the plot are the stuff of soap opera, but the movie treats it seriously, and the acting is convincing enough that we forgive the story and begin to care about the characters.",Lovely scenery and historical context elevate the sentimental story lines above the soap opera domain.
87,Zindagi Na Milegi Dobara,2 hr. 28 min.,Zoya Akhtar,2011,Hrithik Roshan,Abhay Deol,Farhan Akhtar,Katrina Kaif,Kalki Koechlin,Ariadna Cabrol,100,86,"It largely succeeds due to its charismatic, handsome leads and a cracking 'Spanglish' soundtrack.","Dogged by clunky humor and too much travelogue in the early running, helmer Zoya Akhtar's sophomore feature improves markedly halfway through by toning down the tomfoolery and getting to grips with the trio's emotional frailties.",Slick it may be. But tourist board employees representing the various Spanish cities flattered in the movie are not the only ones who will come out grinning.,[A] hugely enjoyable and amusing romp.,"This is defiantly old-fashioned, high-value entertainment with a glamorous, talented cast. You used to see this sort of thing all the time from Hollywood."
88,The Lost Future,1 hr. 31 min.,Mikael Salomon,2010,Sean Bean,Annabelle Wallis,Sam Claflin,Corey Sevier,Eleanor Tomlinson,Jonathan Pienaar,0,17,Something you'd catch on the TV one night when you're in the mood for television no matter what is showing . . .,,,,
